Number,Country,Square km
1,Russia,17098242
2,Canada,9984670
3,China,9706961
4,United States,9372610
5,Brazil,8515767
6,Australia,7692024
7,India,3287590
8,Argentina,2780400
9,Kazakhstan,2724900
10,Algeria,2381741
