Number,Country,Square km
11,DR Congo,2344858
12,Greenland,2166086
13,Saudi Arabia,2149690
14,Mexico,1964375
15,Indonesia,1904569
16,Sudan,1886068
17,Libya,1759540
18,Iran,1648195
19,Mongolia,1564110
20,Peru,1285216
